columna,nulos,%nulos,centinela,%centinela,unicos,top2
tipo_muerte,0,0.0,0,0.0,4,ASESINATO(35266) | HOMICIDIO(3423)
zona,0,0.0,0,0.0,9,ZONA 8(12862) | ZONA 5(9648)
subzona,0,0.0,0,0.0,26,D.M. GUAYAQUIL(12862) | MANABÍ(4559)
distrito,0,0.0,0,0.0,140,NUEVA PROSPERINA(2224) | DURÁN(1835)
circuito,0,0.0,0,0.0,933,GUASMO(660) | CENTRO(656)
codigo_subcircuito,0,0.0,0,0.0,1745,09D07C07S02(571) | 09D10C03S01(339)
subcircuito,0,0.0,0,0.0,1609,SAN FRANCISCO 2(571) | PROGRESO 1(350)
codigo_provincia,0,0.0,0,0.0,24,09(17000) | 13(4559)
provincia,0,0.0,0,0.0,24,GUAYAS(17000) | MANABÍ(4559)
codigo_canton,0,0.0,0,0.0,216,0901(10832) | 1701(2055)
canton,0,0.0,0,0.0,214,GUAYAQUIL(10832) | QUITO(2055)
coordenada_y,0,0.0,0,0.0,28864,"0(1568) | -2,34938(175)"
coordenada_x,0,0.0,0,0.0,27786,"0(1567) | -79,31205(177)"
area_hecho,0,0.0,0,0.0,2,URBANO(30506) | RURAL(9315)
lugar,0,0.0,0,0.0,101,VÍA PÚBLICA(24210) | CASA/VILLA(6159)
tipo_lugar,0,0.0,0,0.0,2,PÚBLICO(27484) | PRIVADO(12337)
fecha_infraccion,0,0.0,0,0.0,4158,2021-09-28 00:00:00(129) | 2021-02-23 00:00:00(85)
hora_infraccion,0,0.0,5,0.01,1126,22:00:00(999) | 20:00:00(969)
arma,0,0.0,0,0.0,6,ARMA DE FUEGO(31234) | ARMA BLANCA(5208)
tipo_arma,0,0.0,1616,4.06,53,PISTOLA(20743) | REVOLVER(3037)
presunta_motivacion,0,0.0,1,0.0,8,DELINCUENCIA COMÚN(31929) | VIOLENCIA COMUNITARIA(5780)
presun_motiva_observada,0,0.0,1,0.0,35,AMENAZA(17755) | TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO)(10
probable_causa_motivada,0,0.0,0,0.0,19,HERIDA POR ARMA DE FUEGO(31198) | HERIDA POR ARMA BLANCA(522
edad,0,0.0,881,2.21,99,25(1815) | 30(1805)
medida_edad,0,0.0,881,2.21,2,A(38940) | SIN_DATO(881)
sexo,0,0.0,162,0.41,3,HOMBRE(35908) | MUJER(3751)
genero,0,0.0,6328,15.89,8,MASCULINO(30434) | SIN_DATO(6328)
etnia,0,0.0,1575,3.96,10,MESTIZO/A(33555) | AFRO(2943)
estado_civil,0,0.0,3540,8.89,7,SOLTERO(29960) | CASADO(4361)
nacionalidad,0,0.0,1348,3.39,41,ECUADOR(36747) | NO DETERMINADO(1294)
discapacidad,0,0.0,892,2.24,9,NINGUNA(38378) | NO DETERMINADO(826)
profesion_registro_civil,0,0.0,6757,16.97,64,ESTADO PERSONAL(16356) | SIN_DATO(6757)
instruccion,0,0.0,30175,75.78,10,SIN_DATO(30175) | BASICA(3671)
