columna,nulos,%nulos,centinela,%centinela,unicos,top2
tipo_muerte,0,0.0,0,0.0,4,ASESINATO(3946) | HOMICIDIO(158)
zona,0,0.0,0,0.0,9,ZONA 8(1322) | ZONA 5(1050)
subzona,0,0.0,0,0.0,25,D.M. GUAYAQUIL(1322) | MANABÍ(581)
distrito,0,0.0,0,0.0,117,MANTA(253) | MACHALA(223)
circuito,0,0.0,0,0.0,547,CENTRO(55) | PASCUALES(55)
codigo_subcircuito,0,0.0,0,0.0,892,03D03C02S01(35) | 09D07C07S02(34)
subcircuito,0,0.0,0,0.0,850,SAN JUAN 1(39) | TRONCAL CENTRO 1(35)
codigo_provincia,0,0.0,0,0.0,23,09(1761) | 13(581)
provincia,0,0.0,0,0.0,23,GUAYAS(1761) | MANABÍ(581)
codigo_canton,0,0.0,0,0.0,140,0901(1098) | 0701(223)
canton,0,0.0,0,0.0,139,GUAYAQUIL(1098) | MACHALA(223)
coordenada_y,0,0.0,0,0.0,3273,"-2,34938(29) | -2,05292(14)"
coordenada_x,0,0.0,0,0.0,3254,"-79,31205(29) | -79,94452(12)"
area_hecho,0,0.0,1,0.02,3,URBANO(3193) | RURAL(960)
lugar,0,0.0,0,0.0,66,VÍA PÚBLICA(2672) | CASA/VILLA(663)
tipo_lugar,0,0.0,0,0.0,2,PUBLICO(2980) | PRIVADO(1174)
fecha_infraccion,0,0.0,0,0.0,181,2026-03-28 00:00:00(50) | 2026-05-31 00:00:00(49)
hora_infraccion,0,0.0,0,0.0,559,20:00:00(122) | 22:00:00(104)
arma,0,0.0,0,0.0,6,ARMA DE FUEGO(3671) | ARMA BLANCA(313)
tipo_arma,0,0.0,0,0.0,30,PISTOLA(2963) | OTROS ARMA CORTA(306)
presunta_motivacion,0,0.0,0,0.0,7,DELINCUENCIA COMÚN(4001) | VIOLENCIA COMUNITARIA(113)
presun_motiva_observada,0,0.0,0,0.0,25,AMENAZA(3037) | TRÁFICO INTERNOS DE DROGAS (MICROTRÁFICO)(75
probable_causa_motivada,0,0.0,0,0.0,14,HERIDA POR ARMA DE FUEGO(3669) | HERIDA POR ARMA BLANCA(315)
edad,0,0.0,109,2.62,84,25(201) | 24(184)
medida_edad,0,0.0,109,2.62,2,A(4045) | SIN_DATO(109)
sexo,0,0.0,13,0.31,3,HOMBRE(3782) | MUJER(359)
genero,0,0.0,6,0.14,9,MASCULINO(3769) | FEMENINO(347)
etnia,0,0.0,221,5.32,9,MESTIZO/A(3596) | SIN_DATO(221)
estado_civil,0,0.0,453,10.91,6,SOLTERO(3200) | SIN_DATO(453)
nacionalidad,0,0.0,212,5.1,7,ECUADOR(3753) | SIN_DATO(212)
discapacidad,0,0.0,19,0.46,8,NINGUNA(4092) | INTELECTUAL(19)
profesion_registro_civil,0,0.0,775,18.66,58,ESTADO PERSONAL(1704) | SIN_DATO(775)
instruccion,0,0.0,3742,90.08,9,SIN_DATO(3742) | BASICA(176)
