feature,importancia
presun_motiva_observada,17.949434339086963
lugar,16.9264581831262
presunta_motivacion,9.998368983842221
franja_horaria,5.5872671562206335
distrito,5.3425800249033015
hora,4.747444893216759
coordenada_y,4.7208589252057
zona,4.686506041859938
edad,4.547455196776039
dia_semana,3.8661968009650374
canton,3.5274675870909555
provincia,3.49217765649882
subzona,3.368024022465397
estado_civil,2.6305061985057985
etnia,2.1351693505042895
area_hecho,1.7051730477291944
discapacidad,1.398553351346801
nacionalidad,1.3237611622860979
coordenada_x,1.0585382135188415
sexo,0.5134352650361632
es_fin_semana,0.29322762042459466
tipo_lugar,0.18139597939020313
