rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,params
1,0.6308634968280934,0.006945439802512569,0.8015459991439744,0.0029002225935765426,46.8022997379303,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 350, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 0.7}"
2,0.627719604590596,0.004327261115802776,0.7894707184585867,0.0026361214165956035,34.47505884170532,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.08, 'gamma': 0.05, 'colsample_bytree': 1.0}"
3,0.6252886734481417,0.0055066074314490746,0.7476349887077557,0.0010856512579931039,44.75292601585388,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 350, 'min_child_weight': 8, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.9}"
4,0.6248047981950899,0.006429938083221922,0.7347678181356233,0.0022916939492682903,60.647486972808835,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 700, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.9}"
5,0.6239279462675829,0.004068161345375178,0.7058485270122198,0.0020257692376035447,69.87328653335571,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 1.0}"
6,0.6237752504025126,0.005840493884048573,0.7738304864624217,0.0018870877490989486,69.25031328201294,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 0.05, 'colsample_bytree': 0.7}"
7,0.6235500210881336,0.006791017774940896,0.7104879110384735,0.002988226633079611,21.164242362976076,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 250, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.8}"
8,0.6218434047629948,0.005708054130301675,0.7215763799372822,0.002850578353400362,63.70786499977112,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 8, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.9}"
9,0.6208669256635371,0.004139877788404844,0.781923238946217,0.0022636519290874448,70.12531080245972,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.05, 'n_estimators': 700, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.7}"
10,0.6201787003421917,0.005144174153778142,0.8211948666253379,0.0014217662998108013,64.48487038612366,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 8, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.7}"
