feature,catboost_importance,permutation_mean,permutation_std,ranking_perm,ranking_catboost
lugar,14.099806568807422,0.08913818524412832,0.018185339210217033,1,2
coordenada_x,3.8680966694137804,0.0604523125344477,0.007024228173710342,2,12
presun_motiva_observada,16.25557992276166,0.0507402344912576,0.01258206487447353,3,1
edad,5.604880635063331,0.0334121266941411,0.01056536251178143,4,8
distrito,6.092103038829733,0.02424029637777103,0.006947340142364674,5,3
subzona,5.4324554420192115,0.02050852386735903,0.011248674043465287,6,9
sexo,0.9141134744852566,0.019623270238975365,0.004820888383385401,7,19
zona,5.935511493790638,0.017627468203845198,0.007212384516934661,8,4
provincia,4.755248136272553,0.013848528968133433,0.006055521073804457,9,10
canton,3.3375257014400277,0.012155069213051572,0.008030015329178155,10,13
etnia,2.6495768572991385,0.008642766730518347,0.006215526597221033,11,15
dia_semana,4.576228368453085,0.008388055912180958,0.0038062996574711643,12,11
hora,5.925177598344434,0.007269395480278318,0.009313154349540052,13,5
presunta_motivacion,5.759717334700296,0.004974988847115003,0.004403444293256872,14,7
estado_civil,3.290140037072644,0.003758872174887129,0.00664453489090313,15,14
nacionalidad,2.4658443283577283,0.0017790222059826943,0.0021976007592509326,16,16
area_hecho,1.6207437526232467,0.0016419553448348222,0.004839092151662856,17,17
es_fin_semana,0.08702827127319326,0.0005368146615660763,0.0019295290363934743,18,21
discapacidad,1.107523576674544,0.0,0.0,19,18
coordenada_y,0.0,0.0,0.0,19,22
franja_horaria,5.895880478996213,-0.0002841877642124513,0.0067173500079052975,21,6
tipo_lugar,0.32681831332219813,-0.0019706007722771314,0.003875952041053727,22,20
